source,target,length
0,2,8.95
0,1,9.22
0,11,11.99
0,27,8.0
1,3,20.89
1,15,7.65
1,21,8.67
1,32,11.7
2,5,12.89
2,11,8.36
3,6,19.41
3,7,4.83
4,4,4.47
4,6,11.58
4,12,8.26
5,10,4.83
5,11,12.26
6,23,10.99
7,15,7.24
7,22,5.83
8,9,17.31
8,8,8.25
8,26,8.1
8,34,10.47
8,59,11.08
8,18,12.83
9,10,5.24
9,26,5.41
10,20,6.0
11,35,11.57
12,13,5.4
12,29,8.99
13,14,13.71
13,16,4.0
14,14,8.25
14,17,11.54
14,24,5.47
14,37,8.4
14,47,16.49
15,21,4.41
16,24,5.41
16,43,9.81
17,37,6.06
17,25,13.41
18,28,12.02
18,31,4.0
20,39,12.23
20,34,8.07
21,32,8.83
22,33,10.66
22,41,8.83
23,33,8.48
23,36,10.65
23,49,11.06
24,43,10.89
25,30,7.84
25,51,7.36
26,34,5.0
27,32,10.93
27,46,6.83
28,38,9.66
28,40,7.24
28,45,7.21
29,36,7.24
29,43,10.66
29,42,4.24
30,52,12.23
30,44,10.99
31,40,4.47
31,50,7.24
32,56,14.07
32,41,15.43
33,41,12.84
33,49,4.58
34,39,10.08
34,59,11.9
35,39,10.45
35,55,8.36
35,53,6.43
36,68,12.49
36,54,7.06
37,47,5.61
38,48,7.83
38,45,4.58
39,55,9.99
39,72,10.31
40,50,4.24
41,67,11.54
42,43,8.08
42,54,5.89
43,43,10.2
43,80,16.56
43,69,10.05
44,57,17.68
44,44,4.0
44,52,8.55
45,48,8.12
45,62,11.15
46,53,7.65
46,56,10.23
47,51,9.1
47,70,8.24
48,48,6.32
48,65,7.07
49,60,7.12
50,58,4.47
50,66,8.95
51,52,10.62
51,70,10.65
52,52,4.47
52,84,10.08
52,79,12.03
53,63,5.0
54,68,5.24
55,63,8.02
55,83,6.12
56,76,14.23
56,98,10.48
56,105,14.54
57,79,8.89
57,64,4.47
58,62,8.8
58,66,8.26
59,66,14.06
59,75,5.06
60,67,9.7
60,93,8.0
62,88,13.0
62,66,11.7
62,101,10.62
62,110,9.07
63,76,10.11
64,71,5.47
64,87,14.45
65,82,17.31
65,74,3.0
66,101,8.26
66,114,16.76
67,99,9.82
68,80,5.61
69,89,10.48
69,106,12.91
69,102,9.24
70,94,6.41
71,73,10.41
71,107,8.41
72,75,6.0
72,92,7.89
73,85,9.12
73,103,9.41
73,91,5.16
74,109,14.88
74,88,8.66
75,96,10.51
76,76,16.0
76,83,12.19
76,98,9.83
76,130,17.3
76,147,18.55
79,87,10.73
80,108,12.19
80,89,7.54
80,106,13.48
82,124,30.22
82,109,11.02
83,97,7.81
84,84,10.99
84,100,8.08
84,117,14.66
85,91,5.41
85,95,4.24
87,100,7.16
87,87,12.65
87,179,23.3
87,203,31.56
88,121,12.83
89,106,6.16
91,116,9.16
92,104,8.24
92,97,4.83
93,99,4.24
93,108,11.24
94,117,10.89
94,123,10.24
95,116,9.49
95,111,10.37
96,96,5.66
96,104,10.47
96,114,11.62
97,127,10.49
97,130,14.06
98,105,8.43
99,99,4.47
99,118,11.54
100,100,6.0
101,112,5.06
101,113,5.24
102,106,12.23
102,119,6.83
103,107,4.0
103,116,9.26
104,127,7.29
104,156,18.63
105,115,14.26
105,131,8.84
105,152,13.43
106,145,10.41
107,129,8.24
108,128,9.43
108,118,9.47
109,125,7.02
109,136,9.54
110,112,4.0
110,126,8.1
111,132,13.34
111,138,8.37
111,116,10.26
111,135,14.13
112,122,4.24
113,122,3.83
113,114,9.66
114,156,17.86
115,115,7.4
115,131,8.08
115,143,10.3
116,129,8.58
116,135,7.47
117,123,5.83
118,118,7.21
118,144,12.31
119,123,14.41
119,170,19.26
120,142,8.47
120,120,10.0
120,124,11.5
121,125,7.1
121,126,13.1
121,146,8.23
122,126,10.07
123,139,8.37
124,124,10.54
124,136,15.73
124,182,12.58
124,163,10.57
125,146,7.83
126,126,6.32
126,165,12.25
126,177,11.75
126,153,12.82
127,151,7.16
