source,target,length
24,24,2.0
24,29,7.4
29,39,8.43
29,43,7.0
30,30,4.0
30,44,10.26
30,49,14.59
30,45,7.73
30,34,24.47
32,32,2.0
32,39,6.06
32,50,25.95
33,33,2.0
33,35,6.83
33,41,5.0
34,34,11.1
34,45,13.38
34,49,18.77
34,60,12.29
34,47,15.44
35,38,4.41
35,42,3.41
38,44,5.89
38,48,7.58
39,46,5.0
40,40,4.47
40,54,6.99
40,61,10.85
41,42,5.0
41,54,7.65
42,48,6.02
43,43,4.47
43,46,7.61
43,52,4.24
44,49,10.72
44,58,6.65
45,49,6.71
46,46,2.83
46,52,8.83
46,50,18.76
46,63,7.0
47,47,4.47
47,60,9.16
48,65,6.47
49,58,8.8
49,70,10.57
49,49,12.0
49,78,11.69
50,67,8.47
50,71,10.24
51,51,2.0
51,59,6.66
52,60,12.19
54,62,6.16
58,66,4.0
59,68,6.06
59,75,10.64
60,60,6.65
60,73,10.07
60,74,14.65
60,72,10.85
60,82,8.66
61,62,10.34
61,91,17.18
61,80,18.14
62,77,7.16
63,63,2.0
63,74,9.26
65,66,5.0
65,92,13.65
66,84,8.41
67,68,7.65
67,71,8.24
67,86,8.16
68,79,5.83
70,72,4.83
70,78,4.24
71,85,5.0
72,81,6.41
73,73,7.4
73,82,7.02
73,103,12.6
74,96,8.48
74,98,11.49
75,79,7.29
75,109,13.24
75,95,13.54
77,92,10.02
77,91,9.47
77,77,6.32
78,81,6.16
79,86,8.99
79,79,2.83
80,90,12.66
80,97,8.63
80,104,9.29
81,81,8.25
81,114,15.9
81,102,11.71
82,102,10.24
84,84,2.0
84,94,5.06
85,93,4.58
85,86,8.0
86,99,6.83
87,245,130.67
89,89,10.0
89,90,8.39
89,111,7.12
90,104,10.68
91,120,15.8
91,105,7.83
92,94,9.24
92,92,6.32
92,112,11.14
92,105,7.89
93,93,5.89
93,100,5.4
94,113,11.24
94,112,13.61
95,95,2.0
95,116,6.83
96,103,3.65
96,98,6.61
97,97,2.83
97,104,7.93
98,103,7.0
98,106,7.58
98,123,9.49
99,99,5.66
99,100,14.73
99,119,6.12
100,106,8.0
100,100,6.32
100,124,10.08
102,115,5.83
102,121,6.47
103,115,7.83
103,123,8.4
104,111,14.8
104,104,14.56
104,132,11.12
104,120,22.0
105,112,6.66
106,127,8.65
109,116,4.0
109,122,4.47
111,118,10.12
112,120,19.32
112,113,11.0
112,112,8.25
113,114,9.39
113,137,11.4
114,142,12.06
115,121,8.66
116,125,7.41
117,119,10.16
117,117,2.83
117,122,5.61
117,135,10.0
118,118,12.65
118,128,10.25
118,136,11.67
118,141,9.73
118,153,11.33
118,158,19.8
119,134,7.24
120,120,10.2
120,154,26.16
120,144,9.95
121,133,7.24
122,125,7.89
122,131,5.4
123,130,4.83
123,143,7.65
124,127,6.41
124,134,13.24
124,155,14.78
124,149,9.12
125,131,5.83
125,147,5.58
125,138,13.02
127,146,9.3
128,141,7.95
128,157,29.84
130,133,15.66
130,164,14.24
131,135,10.65
132,158,16.53
132,154,18.07
133,145,6.95
134,135,11.83
134,150,10.21
135,150,15.55
136,136,2.83
137,137,2.83
137,142,8.54
137,162,12.04
137,163,11.99
138,147,5.24
138,152,11.33
141,141,2.0
141,170,13.32
141,153,4.61
142,145,7.1
142,163,12.34
143,165,9.41
143,146,6.41
144,148,5.16
144,172,18.43
145,145,5.66
145,166,9.66
146,155,4.41
147,168,10.16
148,148,2.0
148,173,22.49
149,150,16.06
149,167,13.38
150,150,4.0
150,177,11.33
152,152,10.77
152,168,8.62
152,196,16.13
152,193,13.34
153,161,7.5
154,158,17.63
154,172,15.69
154,154,9.43
154,190,12.64
154,206,12.11
154,207,13.71
155,167,5.0
157,157,9.14
157,170,15.83
157,184,8.39
157,169,22.13
158,161,11.24
158,158,8.49
158,181,10.39
161,170,13.02
161,197,16.71
161,186,9.22
162,162,2.83
162,163,8.37
162,173,21.67
163,182,11.83
164,175,9.07
164,171,6.06
165,167,8.1
165,171,7.61
166,182,13.14
166,175,5.06
167,167,8.49
167,180,14.37
167,191,13.4
168,168,4.0
168,192,12.74
169,169,5.66
170,185,10.14
171,187,9.16
172,172,12.54
172,173,19.43
172,198,8.16
173,208,11.43
173,219,13.56
173,227,11.07
173,220,20.68
175,183,8.06
176,176,5.89
176,177,7.24
177,188,9.65
177,204,9.61
177,215,14.56
180,180,14.56
180,195,10.99
180,228,16.09
181,186,11.26
181,214,10.3
181,190,6.06
182,220,48.86
183,183,5.89
183,187,7.24
183,212,11.18
184,184,2.83
184,189,7.24
185,189,7.16
185,197,13.24
185,222,10.05
185,226,9.54
186,197,6.43
187,191,8.58
187,213,10.48
188,188,4.0
188,192,7.93
189,210,6.83
190,211,8.83
190,206,6.65
191,194,3.0
192,193,9.0
192,215,10.12
192,229,11.85
193,196,6.16
193,216,7.16
194,200,5.0
194,213,7.24
195,200,7.02
195,224,7.12
195,254,15.83
196,236,12.65
197,217,6.61
197,252,12.54
198,208,6.41
198,198,4.47
198,234,9.16
200,224,6.41
204,225,9.6
204,215,7.39
205,205,4.0
205,237,12.41
205,250,19.83
206,218,4.0
207,218,6.61
207,239,7.4
208,219,7.8
210,221,4.65
210,222,7.58
211,214,4.41
211,247,8.21
212,212,7.4
212,248,20.08
212,213,8.16
213,224,11.21
213,248,10.73
213,249,8.4
214,217,4.0
215,230,8.24
216,236,7.85
216,240,7.21
217,242,7.0
218,247,9.31
219,227,7.41
219,234,11.99
219,243,15.99
220,220,6.32
220,243,13.48
221,238,6.81
221,246,8.21
222,226,6.0
222,241,5.0
225,235,10.01
225,228,12.01
225,277,16.77
226,251,7.16
227,243,4.65
228,228,4.47
228,254,12.04
229,230,9.47
229,240,5.99
230,235,5.83
230,258,7.3
230,277,17.32
230,299,15.02
234,234,10.99
234,239,7.0
234,262,11.63
235,235,4.0
236,240,12.07
236,278,12.43
237,238,8.0
237,250,11.16
237,237,4.0
237,274,10.41
237,290,10.71
238,246,6.06
239,262,8.65
240,258,8.7
241,246,8.16
241,251,5.4
242,242,2.0
242,252,6.81
245,245,2.0
245,458,81.7
246,274,9.49
246,270,8.24
247,261,7.24
248,249,6.36
248,286,14.95
249,276,13.43
250,260,5.89
251,256,5.58
251,264,4.24
252,256,6.0
252,265,8.99
252,302,13.43
254,276,12.26
254,254,8.49
254,280,11.22
256,265,5.0
258,278,17.42
258,299,10.4
260,284,10.07
260,269,5.54
261,266,6.66
261,271,5.83
261,292,6.24
262,266,9.16
262,285,9.99
264,265,6.41
264,270,9.58
264,291,10.4
265,291,5.16
266,297,10.83
269,284,5.24
269,307,8.25
270,296,6.99
271,275,3.0
271,308,10.7
274,296,9.48
275,275,2.0
275,308,11.48
276,286,7.36
276,280,8.77
276,312,6.0
277,377,29.07
278,278,2.83
278,320,13.43
278,329,16.04
280,280,8.25
280,312,10.07
280,348,22.52
284,307,9.16
284,306,18.72
285,293,25.02
285,309,8.06
285,285,4.0
285,315,8.02
286,312,9.83
290,290,2.0
290,332,11.66
291,313,6.48
292,297,8.0
292,308,9.23
293,298,15.49
293,293,4.47
293,318,8.0
293,351,12.39
293,358,13.24
293,359,13.71
296,316,6.16
