index,x,y,degree
0,194,29,4
1,203,29,5
2,186,26,3
3,219,26,3
4,249,27,4
5,175,28,3
6,238,27,3
7,217,30,3
8,157,37,7
9,166,31,3
10,171,30,3
11,185,33,4
12,255,32,3
13,260,30,3
14,270,33,7
15,210,31,3
16,260,34,3
17,279,35,3
18,145,35,3
20,171,36,3
21,209,35,3
22,219,35,3
23,235,37,4
24,265,35,3
25,288,38,3
26,165,36,3
27,194,37,3
28,135,39,4
29,250,38,4
30,294,38,3
31,145,39,3
32,204,40,5
33,228,39,4
34,165,41,5
35,180,41,4
36,244,40,4
37,275,39,3
38,128,40,3
39,171,44,5
40,141,41,3
41,217,43,4
42,251,42,3
43,259,43,8
44,302,43,5
45,130,44,4
46,192,43,3
47,277,44,4
48,122,45,5
49,230,43,3
50,142,45,4
51,286,45,4
52,296,48,7
53,185,45,3
54,247,46,3
55,178,49,4
56,199,50,5
57,314,47,3
58,139,48,3
59,156,48,4
60,231,50,3
62,134,54,6
63,185,50,3
64,317,50,3
65,117,50,3
66,145,53,6
67,222,51,3
68,244,50,3
69,263,52,4
70,280,51,3
71,322,52,3
72,165,52,3
73,332,53,4
74,117,53,3
75,159,52,3
76,189,59,8
79,307,52,3
80,247,54,5
82,105,54,3
83,179,55,3
84,296,57,5
85,338,55,3
87,310,62,7
88,123,58,3
89,254,56,3
91,333,56,3
92,170,58,3
93,231,58,3
94,281,57,3
95,340,58,3
96,157,62,5
97,174,60,4
98,195,59,3
99,227,59,5
100,303,61,4
101,141,60,4
102,266,60,3
103,327,60,3
104,164,63,4
105,202,63,5
106,255,62,5
107,323,60,3
108,240,62,4
109,108,64,4
110,133,63,3
111,344,65,5
112,137,63,3
113,143,64,3
114,151,68,4
115,214,65,5
116,334,65,6
117,287,65,3
118,232,67,5
119,268,66,3
120,81,69,4
121,121,68,4
122,140,66,3
123,282,67,4
124,91,72,7
125,114,67,3
126,132,71,8
127,168,68,3
128,245,69,3
129,326,67,3
130,181,71,4
131,207,69,3
132,354,69,3
134,324,70,4
135,332,72,4
136,106,73,4
138,346,72,3
139,286,74,5
142,75,73,3
143,219,73,3
144,238,77,5
145,254,72,4
146,116,74,4
147,191,76,4
150,326,74,4
151,169,75,3
152,198,75,3
153,143,76,4
155,361,76,3
156,164,80,8
157,211,78,4
158,344,76,3
159,178,77,3
160,221,81,8
161,298,78,4
162,68,79,3
163,97,80,3
164,116,79,3
165,126,80,4
166,206,78,3
167,339,80,5
168,368,79,5
169,144,80,4
170,268,83,4
172,107,84,4
173,122,80,3
174,176,82,4
176,63,83,3
177,131,82,3
178,199,82,3
179,301,82,4
180,373,83,3
181,72,82,3
182,89,84,6
183,208,86,6
184,248,84,3
185,350,83,3
186,150,86,4
187,296,84,4
188,79,87,7
189,140,85,4
190,188,85,4
191,257,86,5
192,290,85,3
193,346,84,3
194,71,87,3
195,113,86,4
196,183,85,3
197,227,88,3
198,167,88,3
199,303,87,3
200,55,88,3
201,193,88,4
202,211,87,3
203,315,89,4
204,345,89,5
205,367,90,4
206,64,91,7
207,137,89,4
208,174,89,3
209,217,89,3
210,322,91,3
211,92,90,3
212,248,91,4
213,180,92,4
214,187,91,3
215,257,91,3
216,278,91,4
218,298,93,4
219,90,92,3
220,107,93,3
221,113,94,3
222,148,93,3
223,156,95,3
224,272,92,4
225,306,93,3
226,384,94,3
228,126,94,3
229,136,96,5
230,217,95,5
231,258,94,3
232,351,96,5
234,50,95,4
235,171,96,4
236,192,95,5
237,200,96,4
238,212,94,3
239,312,97,4
240,318,94,3
241,366,98,6
242,376,98,4
243,90,96,3
244,96,96,4
245,229,100,5
246,265,101,8
247,308,99,5
248,341,95,3
249,105,97,3
250,273,97,3
251,324,97,3
252,335,97,4
253,301,99,3
254,319,104,8
255,255,100,4
256,284,99,5
257,87,100,4
258,143,102,6
259,181,100,4
260,249,100,3
261,327,100,4
262,340,101,5
263,40,101,3
264,114,104,6
265,126,101,3
266,157,104,3
268,213,101,4
269,274,101,4
270,357,101,3
271,186,102,3
272,279,101,3
274,52,104,3
275,202,104,3
276,312,104,4
277,390,103,3
278,65,104,4
279,92,104,4
281,372,105,7
282,83,105,3
283,104,105,4
286,285,107,8
287,302,105,4
288,58,105,3
291,252,105,3
292,32,110,3
294,194,109,5
295,209,106,4
296,218,107,3
297,276,107,3
301,199,109,3
302,269,111,4
303,293,108,3
304,354,108,4
305,383,108,3
306,392,112,5
307,58,110,3
310,312,109,3
311,331,109,3
313,225,111,4
314,305,110,3
315,40,111,3
316,48,112,5
318,212,112,5
319,220,111,3
320,323,112,3
321,346,112,3
322,352,112,4
323,52,113,4
325,315,113,4
326,359,116,4
327,385,112,3
328,59,114,3
332,371,114,3
334,299,118,6
335,332,115,3
338,71,115,3
339,382,118,4
340,48,117,4
341,86,119,5
342,107,116,4
344,279,117,3
345,284,119,3
346,317,117,4
347,345,116,3
348,35,118,3
349,52,118,4
350,63,119,4
353,274,117,3
354,329,120,5
355,336,117,3
356,370,120,4
357,114,121,8
358,130,118,4
361,57,121,5
362,269,120,3
364,397,129,9
365,74,122,3
366,101,122,3
367,106,122,3
368,130,122,3
371,335,122,4
372,152,124,5
374,313,123,4
375,320,122,3
376,347,128,8
377,78,123,3
378,90,124,4
379,122,124,3
381,173,130,7
384,376,124,4
385,135,125,3
387,86,125,3
388,123,130,5
389,142,127,4
390,185,127,4
391,193,133,7
392,202,125,3
393,300,126,3
394,328,127,3
395,368,125,3
396,381,125,3
398,47,127,5
399,62,131,7
400,265,127,3
401,318,126,5
402,360,127,4
403,162,129,4
404,214,128,4
405,333,127,3
406,129,132,4
408,78,130,4
409,90,130,3
410,115,131,4
411,339,130,3
412,372,132,6
413,86,131,3
415,243,130,4
417,309,130,4
418,360,132,4
420,235,132,5
421,387,133,3
423,51,132,3
424,209,134,4
425,230,133,3
427,383,132,3
428,73,135,3
429,97,136,6
430,147,133,3
431,156,134,3
433,217,134,3
434,223,133,3
435,166,136,4
437,308,135,3
438,314,135,3
439,86,136,3
440,138,138,5
441,149,136,4
442,220,135,3
443,344,137,4
444,364,135,3
445,378,135,3
446,182,136,3
447,228,137,4
449,322,137,4
451,55,137,3
452,80,137,3
453,118,141,7
455,355,140,5
456,125,139,3
457,159,138,3
458,187,138,3
459,214,139,4
460,220,139,3
461,246,140,5
462,270,145,6
463,379,140,3
464,413,140,3
465,90,149,5
466,224,141,3
467,238,141,3
468,253,140,3
469,261,141,3
470,280,140,3
472,107,143,3
473,153,146,5
474,167,142,3
475,203,142,3
477,386,144,6
478,60,143,3
479,135,146,4
480,365,144,6
481,372,143,4
482,407,143,3
483,112,143,3
484,128,146,4
485,171,146,5
486,177,145,4
487,183,144,3
488,211,143,3
489,257,143,3
490,377,143,3
491,414,144,4
494,341,145,3
495,362,144,3
496,68,145,3
497,102,146,4
498,239,149,6
499,245,146,3
500,286,149,6
501,300,145,3
502,304,146,4
504,146,146,3
505,279,147,3
506,378,146,3
507,111,149,4
508,116,148,3
509,123,148,3
510,200,147,3
511,230,148,3
512,401,148,4
513,64,148,3
514,163,150,4
515,187,148,3
516,211,149,3
518,376,148,3
520,141,152,5
521,174,150,4
522,249,150,4
523,197,150,3
524,216,150,4
525,263,153,4
526,356,151,3
527,122,152,3
528,152,153,4
529,187,152,3
530,252,151,3
531,117,152,3
532,133,153,4
533,171,154,5
534,301,158,8
535,308,153,4
536,360,153,3
537,375,154,3
539,176,154,3
540,196,154,4
541,205,158,6
542,228,154,3
543,244,153,3
544,246,153,3
546,313,153,3
547,69,155,4
548,222,157,5
549,393,156,4
550,403,155,3
551,415,154,3
552,184,157,4
553,191,156,4
554,319,156,3
557,116,160,6
558,128,160,6
560,274,156,3
561,407,158,5
563,141,158,3
564,230,159,5
565,271,157,3
566,312,157,3
567,332,158,4
568,196,161,6
569,382,158,4
572,122,160,3
573,243,161,3
574,313,162,5
576,185,164,4
577,191,162,4
578,211,162,3
579,276,162,3
580,307,162,3
581,321,161,3
582,418,162,3
583,236,163,4
584,341,164,4
585,350,163,3
586,81,165,5
587,149,165,5
588,160,163,4
589,219,165,4
590,292,165,5
591,318,163,3
592,408,164,4
593,138,165,4
594,247,169,6
595,305,164,3
597,111,165,3
598,120,165,3
599,171,166,5
600,205,166,3
601,162,167,3
602,226,167,3
603,267,167,3
605,413,167,3
606,115,169,4
607,154,167,3
608,180,167,3
609,189,167,3
610,303,168,4
612,421,168,3
613,103,169,3
614,128,169,4
615,166,168,3
616,256,168,3
617,263,168,3
618,106,169,4
619,133,171,4
621,197,171,5
623,324,170,6
624,121,171,3
625,170,172,6
626,180,172,4
627,192,170,3
628,307,170,3
629,329,170,3
630,154,172,3
631,227,172,5
632,288,171,3
633,297,172,4
634,425,174,5
635,85,172,3
636,92,172,4
637,237,175,7
638,366,172,4
639,417,173,4
640,258,175,5
641,307,174,3
642,331,174,3
643,113,174,4
644,204,176,5
645,212,175,3
