index,x,y,degree
24,323,16,3
29,323,23,3
30,289,24,6
32,334,23,4
33,266,24,4
34,305,30,7
35,272,26,3
38,276,27,3
39,330,27,3
40,256,31,4
41,266,29,3
42,271,29,3
43,323,30,5
44,281,30,4
45,292,31,3
46,330,32,7
47,314,32,4
48,274,34,3
49,289,37,9
50,347,35,4
51,362,32,3
52,322,34,3
54,262,34,3
58,281,36,3
59,362,37,3
60,312,40,9
61,251,40,4
62,261,40,3
63,330,39,4
65,276,40,3
66,281,40,3
67,351,41,4
68,358,41,3
70,298,42,3
71,344,44,3
72,302,44,3
73,314,46,5
74,324,46,4
75,367,46,4
77,262,47,5
78,295,45,3
79,360,46,5
80,237,49,4
81,298,49,6
82,308,47,3
84,282,48,4
85,344,49,3
86,352,49,4
87,552,48,1
89,220,52,4
90,228,50,3
91,258,54,4
92,270,51,7
93,340,51,4
94,279,52,4
95,376,52,4
96,320,53,3
97,242,55,4
98,325,56,5
99,354,55,5
100,340,56,6
102,306,56,4
103,318,56,5
104,235,58,8
105,265,57,3
106,332,56,3
109,370,58,3
111,221,59,3
112,270,61,7
113,279,61,4
114,288,59,3
115,311,58,3
116,374,58,3
117,363,60,5
118,214,65,8
119,353,61,3
120,254,64,7
121,304,62,3
122,368,62,4
123,320,64,4
124,340,65,5
125,375,65,5
127,334,64,3
128,206,65,3
130,316,66,3
131,370,67,3
132,234,69,3
133,302,68,3
134,352,68,4
135,363,70,4
136,223,68,3
137,281,70,6
138,382,69,3
141,209,72,6
142,289,70,4
143,323,70,3
144,256,73,3
145,296,71,5
146,329,71,3
147,377,70,3
148,261,72,4
149,341,74,3
150,356,77,6
152,386,79,6
153,212,75,3
154,238,84,9
155,330,75,3
157,187,81,6
158,222,79,7
161,214,82,5
162,278,79,5
163,285,81,4
164,311,77,3
165,322,79,3
166,300,79,3
167,330,80,7
168,378,80,5
169,168,82,3
170,202,83,4
171,315,81,3
172,251,86,6
173,267,90,7
175,304,82,3
176,367,83,3
177,361,87,5
180,340,89,5
181,224,89,4
182,291,88,3
183,308,88,5
184,185,89,4
185,198,92,5
186,214,91,3
187,314,90,4
188,370,89,4
189,191,91,3
190,229,92,4
191,322,90,3
192,377,92,5
193,386,92,4
194,322,93,3
195,332,95,4
196,392,93,3
197,210,96,5
198,252,94,5
200,327,93,3
204,363,96,3
205,174,96,4
206,234,95,3
207,240,97,3
208,258,95,3
210,189,97,3
211,224,99,3
212,310,98,5
213,318,99,6
214,220,98,3
215,370,98,4
216,387,99,3
217,216,98,3
218,234,99,3
219,261,102,5
